playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8482742,2024,Zachary L'Heureux,NSH,L,all,62,44796,1033,14.96,0.51,0.49,0.5,0.52,0.49,0.51,599,92.88,11.74,6.9,21.45,3.16,47.55,36.21,11.37,11.77,11.4,5,5,78,49,24,151,15,5,13,1,15,0,36,58,73,122,18,53,0,198,14,33,80,34,13,2.57,4.38,4.79,0,2,3,152.21,127,128.01,11,1.48,1.92,2.5,10.72,10.76,10.62,1033,74,127,170,662,161,127,108,637,0,4,180348,53,40,14,25,356.68,33.12,32.24,33.26,32.37,318,173,218,709,29,40,4,362,94,35,10.19,11.56,11.37,8,10,11,709.24,491,490.35,5.04,7.35,7.35,30.8,30.93,30.58,363.86,31.27,30.16,31.43,30.32,355,150,211,716,35,32,3,389,89,27,12.09,10.59,8.58,23,9,3,720.82,505,509.13,4.98,5.93,5.93,30.31,30.5,29.81,161.33,166.29,3061,2806,0,0,0,0,0,0
8482742,2024,Zachary L'Heureux,NSH,L,5on5,62,40552,917,14.96,0.51,0.49,0.5,0.51,0.49,0.5,545,82.97,9.45,6.07,19.49,2.9,44.37,32.74,9.09,9.48,9.11,5,4,68,47,24,139,13,4,10,1,15,0,33,53,64,111,18,53,0,194,14,31,72,32,11,2.36,4.07,3.02,0,2,2,140.21,115,116.01,11,1.27,1.81,2.48,8.24,8.28,8.15,917,64,114,164,575,150,113,96,558,0,4,142138,53,40,14,19,324.51,27.8,27.1,27.94,27.23,290,160,199,649,25,35,3,335,88,27,9.44,10.78,7.57,8,10,7,649.24,450,449.35,4.42,6.49,6.55,25.66,25.79,25.52,335.97,27.22,26.36,27.38,26.52,323,142,193,658,32,31,3,365,77,23,11.19,9.21,6.83,21,8,3,662.82,465,469.13,4.41,5.71,5.71,25.92,26.11,25.65,97.3,102.13,2298,2206,0.89,1.9,35,31,25,25
8482742,2024,Zachary L'Heureux,NSH,L,4on5,62,2221,68,8.39,0.26,0.12,0.17,0.17,0.24,0.19,160,1.53,0.05,0.05,0.25,0.05,0.46,1.15,0.05,0.05,0.05,0,0,1,1,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,3,0,1,2,0,0,0.05,0,0,0,0,0,2,2,2,0,0.01,0,0,0.06,0.06,0.06,68,0,13,4,51,3,11,7,47,0,0,8585,0,0,0,0,7.11,0.74,0.74,0.74,0.74,7,2,0,9,0,0,0,6,1,2,0.14,0.11,0.5,0,0,0,9,9,9,0.07,0,0,0.82,0.82,0.82,20,2.13,1.88,2.13,1.88,23,5,15,43,3,1,0,16,11,1,0.64,1.27,0.22,2,1,0,43,28,28,0.43,0.22,0.22,2.34,2.34,2.1,2.33,17.21,38,183,0.18,0,2,0,2,0
8482742,2024,Zachary L'Heureux,NSH,L,5on4,62,1456,42,9.72,0.92,0.88,0.95,0.9,0.92,0.87,185,6.63,0.47,0.75,1.69,0.2,2.64,2.25,0.47,0.47,0.47,0,1,8,0,0,8,1,0,3,0,0,0,2,3,8,8,0,0,0,0,0,1,6,2,0,0.16,0.31,0,0,0,0,8,8,8,0,0.19,0.11,0.02,0.64,0.64,0.64,42,8,0,2,32,6,3,4,29,0,0,5139,0,0,0,3,18.59,2.02,1.96,2.02,1.96,18,6,16,40,3,4,1,18,3,3,0.48,0.42,1.13,0,0,3,40,24,24,0.45,0.46,0.4,2.07,2.07,2.05,1.54,0.18,0.18,0.18,0.18,2,0,0,2,0,0,0,1,1,0,0.06,0.12,0,0,0,0,2,2,2,0.02,0,0,0.2,0.2,0.2,9.25,1.23,155,18,0,0,0,0,0,0
8477503,2024,Max Domi,TOR,C,other,74,2144,42,15.47,0.51,0.61,0.62,0.46,0.66,0.49,214,5.72,1.1,0.48,1.1,0.2,3.25,1.87,1,1.1,1,1,0,4,4,2,10,1,0,1,0,0,0,3,4,4,8,0,0,9,0,1,2,5,1,2,0.22,0.11,0.77,0,0,0,10,8,8,2,0.13,0.04,0.5,0.74,0.74,0.65,42,10,9,4,19,6,4,7,25,9,8,5161,0,0,0,1,33.21,6.2,5.93,6.2,5.93,32,13,14,59,5,3,0,27,8,10,1.04,1.1,4.06,1,1,3,59,45,45,0.67,0.81,0.81,6.06,6.06,5.78,16.65,6.05,5.62,6.05,5.62,15,8,13,36,5,2,0,10,4,9,0.42,0.55,5.08,1,1,3,36,23,23,0.26,0.69,0.69,5.62,5.62,5.33,20.43,13.05,114,135,0,0.15,0,1,0,1
8477503,2024,Max Domi,TOR,C,all,74,62920,1386,23.6,0.52,0.49,0.5,0.47,0.51,0.47,542,98.9,8.84,6.62,23.3,3.25,54.97,39.02,8.52,8.85,8.55,19,6,93,43,51,187,33,8,8,2,23,0,40,57,85,128,27,66,273,32,21,69,105,24,7,3.32,2.98,2.54,2,6,0,187.68,136,136.35,20,1.47,0.87,1.5,8.81,8.81,8.57,1386,185,107,170,924,182,187,170,847,273,271,205915,66,36,12,30,548.74,50.1,48.3,50.36,48.57,491,263,286,1040,53,39,6,589,113,52,15.94,14.37,19.79,18,21,14,1044.84,754,756.3,7.89,7.66,7.95,50.04,50.26,48.98,524.19,45.95,43.79,45.89,43.75,461,261,316,1038,39,54,3,560,115,47,15.22,14.88,15.85,16,19,4,1036.87,722,723.32,6.76,10.35,10.35,42.35,42.38,41.43,187.18,195.03,3191,3643,0,0,0,0,0,0
8477503,2024,Max Domi,TOR,C,5on5,74,55530,1212,23.6,0.47,0.51,0.47,0.48,0.48,0.48,503,76.61,6.33,4.72,18.68,2.51,42.13,31.63,6.2,6.35,6.23,14,3,77,29,36,142,25,8,4,2,20,0,31,43,69,98,26,64,240,32,19,65,82,20,4,2.59,2.41,1.33,2,6,0,142.68,106,106.35,18,0.97,0.47,0.57,6.74,6.74,6.64,1212,147,90,158,817,159,172,145,736,240,243,165113,64,34,11,29,446.06,32.71,31.84,32.98,32.11,400,216,233,849,40,28,5,499,91,26,13.36,11.51,7.84,17,20,3,853.84,616,618.3,5.6,4.8,5.44,32.87,33.09,32.74,490.23,37.64,36.16,37.58,36.13,428,248,299,975,33,48,3,536,107,33,14.33,13.72,9.59,15,17,1,973.87,676,677.32,6.26,8.7,8.7,35.2,35.23,34.64,115.18,109.86,2514,2721,1.3,1.82,37,39,26,29
8477503,2024,Max Domi,TOR,C,4on5,74,51,7,0.6,0,0.05,0,0.06,0,0.09,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,5,0,1,0,6,0,2,2546,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.22,0.17,0.22,0.17,1,0,1,2,0,0,0,0,0,1,0,0,0.22,0,0,0,2,1,1,0.01,0,0,0.23,0.23,0.18,0.24,4.84,5,72,0,0,0,0,0,0
8477503,2024,Max Domi,TOR,C,5on4,74,5195,125,20.84,0.85,0.86,0.86,0.85,0.82,0.81,443,15.65,0.97,1.38,3.34,0.51,9.44,5.36,0.93,0.97,0.93,4,3,11,10,13,34,7,0,3,0,3,0,5,10,11,21,1,2,24,0,1,1,18,3,0,0.51,0.46,0,0,0,0,34,21,21,0,0.35,0.35,0,1.32,1.32,1.26,125,28,6,8,83,17,10,18,80,24,1,12486,2,0,0,0,66.14,10.46,9.86,10.46,9.86,55,34,39,128,8,7,1,61,13,15,1.41,1.59,7.46,0,0,8,128,89,89,1.54,1.62,1.26,10.75,10.75,10.13,14.22,1.79,1.59,1.79,1.59,16,3,2,21,1,4,0,12,3,4,0.34,0.49,0.96,0,1,0,21,19,19,0.18,0.96,0.96,1.02,1.02,1,30.93,4.98,371,64,0,0,0,0,0,0
8480196,2024,Jacob Bryson,BUF,D,other,48,878,22,3.08,0.38,0.38,0.38,0.48,0.4,0.44,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,5,4,11,1,5,2,14,0,0,4210,0,0,0,0,5.42,1.56,1.5,1.56,1.5,6,2,3,11,1,1,0,3,2,3,0.07,0.26,1.23,0,0,1,11,8,8,0.09,0.27,0.27,1.38,1.38,1.37,9.35,2.52,1.81,2.52,1.81,8,4,6,18,1,1,1,3,4,5,0.13,0.44,1.95,0,0,1,18,12,12,0.25,0.39,0.39,2.39,2.39,1.64,8.3,13.35,102,110,0,0,0,0,0,0
