Unit,CF/60_Rate,xG/60_Rate,GF/60_Rate,G/60_Rate
Pastrnak ON (Unit 1),104.70,7.45,5.58,1.56
Team Average OFF (Unit 2),96.08,6.95,5.17,0.00
