Unit,CF/60_Rate,xG/60_Rate,GF/60_Rate,G/60_Rate
Pastrnak ON (Unit 1),104.7004836909339,7.449584521890115,5.581049237256604,1.5626937864318493
Team Average OFF (Unit 2),96.07563819728963,6.950393948944218,5.173652694610778,0.0
