team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,2012,BOS,2012020488,BOS,MTL,HOME,20130327,Team Level,5on4,0.9216,0.9091,0.9,329,6.41,0.917,0.652,1.321,0.231,4.06,1.82,0.81,0.917,0.81,7,2,1,10,1,0,0,2,0,4,2,6,8,1,2,2,0,0,0,4,4,1,0.186,0.516,0.215,0,1,0,10,9,9,0,0.158,0,0.215,0.86,0.86,0.801,0.863,0.078,0.081,0.087,0.021,0.256,0.478,0.078,0.078,0.078,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,1,0,0,0.078,0,0,0,0,0,1,1,1,0,0.017,0,0,0.095,0.095,0.095
BOS,2012,BOS,2012020506,BOS,PHI,AWAY,20130330,Team Level,other,0,0.3333,0,78,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2.702,1.857,0.147,0.168,0.067,1.022,0.738,1.857,1.857,1.857,2,2,0,4,1,0,0,0,0,2,1,1,3,0,0,1,0,1,0,0,1,3,0,0.111,1.746,0,0,1,4,4,4,0,0.039,0,0,1.896,1.896,1.896
BOS,2012,BOS,2012020506,BOS,PHI,AWAY,20130330,Team Level,all,0.4563,0.6091,0.6104,3600,35.381,2.889,2.351,8.496,1.037,17.869,14.36,2.752,2.89,2.753,34,13,20,67,1,3,1,9,1,13,20,33,46,3,6,22,24,8,11,34,9,4,0.689,1.168,1.031,0,0,1,65.404,47,45.886,9,0.496,0.728,0.728,2.656,2.664,2.586,21.576,3.442,1.433,4.273,0.619,11.777,8.456,3.436,3.448,3.442,22,8,13,43,3,0,0,4,0,8,15,19,27,3,6,28,33,9,10,20,5,5,0.56,0.671,2.211,1,1,1,44.32,30,30.852,10,0.306,0,0,3.749,3.754,3.747
BOS,2012,BOS,2012020506,BOS,PHI,AWAY,20130330,Team Level,5on5,0.6784,0.625,0.6522,3193,34.161,2.865,2.212,8.212,0.988,16.848,13.875,2.728,2.866,2.729,33,12,15,60,1,3,1,9,1,12,19,32,44,3,6,19,24,8,11,32,9,4,0.665,1.168,1.031,0,0,1,58.404,45,43.886,9,0.463,0.728,0.728,2.6,2.608,2.53,17.154,1.358,1.097,3.88,0.514,10.035,7.117,1.352,1.363,1.357,18,6,12,36,1,0,0,4,0,5,14,17,23,3,6,26,32,8,10,19,3,2,0.482,0.411,0.465,1,0,0,37.32,24,24.852,10,0.223,0,0,1.581,1.587,1.579
BOS,2012,BOS,2012020506,BOS,PHI,AWAY,20130330,Team Level,4on5,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773,0.149,0.104,0.103,0.021,0.419,0.205,0.149,0.149,0.149,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.149,0,0,1,0,1,1,1,0,0.026,0,0,0.175,0.175,0.175
BOS,2012,BOS,2012020506,BOS,PHI,AWAY,20130330,Team Level,5on4,0.2353,0.7143,0.6667,240,1.22,0.024,0.139,0.283,0.049,1.021,0.485,0.024,0.024,0.024,1,1,3,5,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,2,0,0,0.024,0,0,0,0,0,5,2,2,0,0.032,0,0,0.056,0.056,0.056,0.947,0.078,0.084,0.122,0.017,0.302,0.397,0.078,0.078,0.078,1,0,1,2,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0.078,0,0,0,0,0,2,1,1,0,0.018,0,0,0.096,0.096,0.096
BOS,2012,BOS,2012020519,BOS,BUF,AWAY,20130331,Team Level,other,0.9312,0.6667,0.8571,356,3.971,0.745,0.174,0.726,0.129,1.959,2.267,0.745,0.745,0.745,3,3,0,6,0,0,0,2,1,2,1,3,6,0,0,7,0,1,1,4,0,2,0.108,0,0.638,0,0,0,6,6,6,0,0.043,0,0,0.788,0.788,0.788,0.722,0.055,0.041,0.141,0.022,0.369,0.372,0.055,0.055,0.055,1,0,2,3,0,0,0,0,1,0,0,1,1,0,0,3,1,1,0,1,0,0,0.055,0,0,0,0,0,3,1,1,0,0.009,0,0,0.065,0.065,0.065
BOS,2012,BOS,2012020519,BOS,BUF,AWAY,20130331,Team Level,all,0.56,0.5167,0.5326,3600,34.135,2.512,1.828,8.1,1.107,18.776,16.678,2.391,2.627,2.495,31,18,13,62,2,3,1,10,3,18,13,29,47,5,10,37,14,5,6,42,4,3,0.977,0.523,1.012,0,1,1,64.314,49,50.815,2,0.38,0.578,0.578,2.313,2.402,2.385,30.191,1.974,2.191,6.823,0.987,18.529,12.496,1.924,1.919,1.871,26,17,15,58,0,0,0,1,2,22,18,26,43,2,4,30,29,7,8,35,8,0,1.106,0.868,0,0,0,0,56.311,43,41.716,5,0.46,0,0,2.434,2.366,2.305
BOS,2012,BOS,2012020519,BOS,BUF,AWAY,20130331,Team Level,5on5,0.5925,0.5532,0.5493,2753,27.175,1.656,1.555,6.858,0.895,15.838,12.199,1.536,1.772,1.641,25,14,13,52,2,3,1,7,2,14,11,23,37,4,8,25,12,4,5,34,4,1,0.759,0.523,0.374,0,1,1,54.314,39,40.815,2,0.316,0.578,0.578,1.393,1.482,1.466,22.827,1.139,1.413,5.436,0.731,13.399,9.881,1.111,1.084,1.058,20,12,10,42,0,0,0,1,1,17,13,20,32,2,4,25,27,6,7,28,4,0,0.708,0.431,0,0,0,0,40.311,32,30.716,4,0.282,0,0,1.421,1.352,1.319
BOS,2012,BOS,2012020519,BOS,BUF,AWAY,20130331,Team Level,4on5,0.1236,0.2353,0.2857,480,2.989,0.11,0.1,0.516,0.083,0.979,2.213,0.11,0.11,0.11,3,1,0,4,0,0,0,1,0,2,1,3,4,0,0,4,2,0,0,4,0,0,0.11,0,0,0,0,0,4,4,4,0,0.022,0,0,0.132,0.132,0.132,6.642,0.78,0.737,1.245,0.235,4.761,2.243,0.758,0.78,0.758,5,5,3,13,0,0,0,0,0,5,5,5,10,0,0,2,1,0,1,6,4,0,0.343,0.437,0,0,0,0,13,10,10,1,0.168,0,0,0.949,0.949,0.921
BOS,2012,BOS,2012020519,BOS,BUF,AWAY,20130331,Team Level,5on4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,2012,BOS,2012020531,BOS,OTT,HOME,20130402,Team Level,other,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,2012,BOS,2012020531,BOS,OTT,HOME,20130402,Team Level,all,0.6404,0.5,0.5378,3600,46.342,4.027,3.143,10.962,1.651,26.134,18.083,3.905,3.984,3.863,50,14,8,72,3,5,2,6,4,18,28,47,61,3,6,28,33,4,5,47,14,3,1.445,1.57,1.012,1,0,2,72.494,64,64.864,1,0.663,1.266,1.315,3.375,3.334,3.279,39.322,2.261,2.089,9.368,1.155,21.586,18.541,2.251,2.289,2.279,47,8,17,72,2,1,0,9,1,19,23,45,53,3,6,26,26,8,10,50,4,1,1.225,0.525,0.511,1,1,0,71.472,55,54.328,7,0.442,0.074,0.074,2.629,2.663,2.655
BOS,2012,BOS,2012020531,BOS,OTT,HOME,20130402,Team Level,5on5,0.6793,0.5041,0.55,2953,39.661,3.304,2.649,9.658,1.427,22.285,15.677,3.194,3.261,3.152,43,12,7,62,3,5,2,4,3,15,25,40,52,3,6,19,31,4,5,43,9,3,1.258,1.033,1.012,1,0,2,62.494,55,55.864,1,0.545,1.266,1.315,2.534,2.493,2.454,32.983,1.56,1.665,8.291,0.976,17.994,14.513,1.551,1.589,1.579,38,7,16,61,2,1,0,7,1,18,16,36,43,3,6,23,24,5,9,42,3,0,1.185,0.375,0,1,1,0,60.472,45,44.328,6,0.333,0.074,0.074,1.819,1.853,1.846
BOS,2012,BOS,2012020531,BOS,OTT,HOME,20130402,Team Level,4on5,0.1657,0.1111,0.125,240,0.792,0.109,0.038,0.097,0.025,0.204,0.528,0.109,0.109,0.109,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,1,0,0,0,1,0,0,0.109,0,0,0,0,1,1,1,0,0.008,0,0,0.117,0.117,0.117,4.912,0.549,0.377,0.97,0.137,3.362,1.605,0.549,0.549,0.549,7,0,1,8,0,0,0,2,0,1,4,7,7,0,0,2,0,0,0,6,0,1,0.038,0,0.511,0,0,0,8,7,7,0,0.099,0,0,0.648,0.648,0.647
BOS,2012,BOS,2012020531,BOS,OTT,HOME,20130402,Team Level,5on4,0.8029,0.75,0.7273,360,5.888,0.615,0.456,1.206,0.199,3.645,1.879,0.602,0.615,0.602,6,2,1,9,0,0,0,2,1,3,2,6,8,0,0,5,0,0,0,4,4,0,0.186,0.429,0,0,0,0,9,8,8,0,0.109,0,0,0.724,0.724,0.709,1.427,0.151,0.048,0.107,0.042,0.23,2.422,0.151,0.151,0.151,2,1,0,3,0,0,0,0,0,0,3,2,3,0,0,1,2,2,1,2,1,0,0.002,0.149,0,0,0,0,3,3,3,1,0.011,0,0,0.162,0.162,0.162
BOS,2012,BOS,2012020543,BOS,N.J,HOME,20130404,Team Level,other,0.8826,0.25,0.3333,82,0.505,0.496,0.005,0.007,0.018,0.192,0.281,0.496,0.496,0.496,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.496,0,0,0,1,1,1,0,0.002,0,0,0.498,0.498,0.498,1.35,0.066,0.126,0.252,0.048,1.071,0.437,0.066,0.066,0.066,2,0,1,3,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0.066,0,0,0,0,0,3,2,2,0,0.042,0,0,0.109,0.109,0.109
BOS,2012,BOS,2012020543,BOS,N.J,HOME,20130404,Team Level,all,0.4832,0.4182,0.3855,3600,22.167,1.937,1.227,5.302,0.725,12.359,10.45,1.932,1.914,1.91,26,6,14,46,1,0,0,3,1,13,14,25,31,1,2,23,25,6,8,25,6,1,0.707,0.734,0.496,0,1,0,46.532,32,32.645,2,0.253,0,0,2.191,2.165,2.158,36.968,2.072,2.23,8.85,1.162,20.595,16.092,2.054,2.106,2.087,40,11,13,64,0,1,0,10,0,11,29,40,51,1,2,28,18,7,4,45,5,1,1.343,0.479,0.251,0,0,0,63.747,51,50.483,2,0.47,0.251,0.251,2.292,2.332,2.314
BOS,2012,BOS,2012020543,BOS,N.J,HOME,20130404,Team Level,5on5,0.3982,0.42,0.3867,3278,20.041,1.266,1.117,5.012,0.649,11.623,9.333,1.261,1.243,1.238,25,4,13,42,1,0,0,3,1,11,13,24,28,1,2,23,25,6,7,24,5,0,0.674,0.592,0,0,1,0,42.532,29,29.645,2,0.228,0,0,1.494,1.468,1.461,33.353,1.913,1.943,8.212,1.05,18.403,14.478,1.895,1.946,1.928,35,11,12,58,0,1,0,10,0,10,25,35,46,1,2,26,17,5,4,40,5,1,1.184,0.479,0.251,0,0,0,57.747,46,45.483,2,0.391,0.251,0.251,2.054,2.094,2.076
BOS,2012,BOS,2012020543,BOS,N.J,HOME,20130404,Team Level,4on5,0.6226,0.3333,0.3333,120,0.745,0.033,0.021,0.143,0.021,0.207,0.575,0.033,0.033,0.033,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.033,0,0,0,0,0,1,1,1,0,0.005,0,0,0.038,0.038,0.038,1.487,0.02,0.131,0.276,0.043,0.886,0.644,0.02,0.02,0.02,2,0,0,2,0,0,0,0,0,1,1,2,2,0,0,1,1,0,0,2,0,0,0.02,0,0,0,0,0,2,2,2,0,0.03,0,0,0.05,0.05,0.05
BOS,2012,BOS,2012020543,BOS,N.J,HOME,20130404,Team Level,5on4,0.6605,0.6667,0.5,120,0.876,0.142,0.082,0.14,0.037,0.337,0.261,0.142,0.142,0.142,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0.142,0,0,0,0,2,1,1,0,0.019,0,0,0.161,0.161,0.161,0.778,0.073,0.03,0.109,0.021,0.235,0.533,0.073,0.073,0.073,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,1,0,0,0.073,0,0,0,0,0,1,1,1,0,0.006,0,0,0.079,0.079,0.079
BOS,2012,BOS,2012020562,BOS,MTL,AWAY,20130406,Team Level,other,0.4211,0.25,0.5,177,0.708,0.008,0.032,0.203,0.024,0.351,0.382,0.008,0.008,0.008,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.008,0,0,0,0,0,1,1,1,0,0.008,0,0,0.016,0.016,0.016,0.658,0.011,0.034,0.152,0.018,0.412,0.372,0.011,0.011,0.011,1,0,2,3,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0.011,0,0,0,0,0,3,1,1,0,0.008,0,0,0.019,0.019,0.019
BOS,2012,BOS,2012020562,BOS,MTL,AWAY,20130406,Team Level,all,0.3634,0.5333,0.4881,3600,27.688,1.475,1.719,7.698,0.996,16.426,12.684,1.439,1.475,1.438,27,14,23,64,1,3,0,10,0,13,14,26,40,2,4,33,23,1,12,39,1,1,1.046,0.143,0.286,1,0,0,62.11,41,39.502,12,0.354,0.377,0.377,1.452,1.452,1.414,30.488,2.584,1.984,8.41,1.146,16.697,12.179,2.475,2.567,2.459,29,14,13,56,2,4,1,7,2,9,19,27,41,2,4,35,25,6,10,34,5,4,0.855,0.657,1.072,1,1,0,57.382,43,44.313,10,0.414,0.673,0.673,2.325,2.319,2.298
BOS,2012,BOS,2012020562,BOS,MTL,AWAY,20130406,Team Level,5on5,0.3715,0.5526,0.4938,3327,26.98,1.467,1.688,7.495,0.972,16.076,12.302,1.43,1.467,1.43,26,14,23,63,1,3,0,10,0,13,13,25,39,2,4,33,22,1,12,38,1,1,1.038,0.143,0.286,1,0,0,61.11,40,38.502,12,0.346,0.377,0.377,1.436,1.435,1.398,29.414,2.482,1.903,8.17,1.105,15.802,11.539,2.372,2.465,2.357,27,14,10,51,1,4,1,7,2,8,19,26,40,2,4,30,25,6,10,33,4,4,0.844,0.566,1.072,1,0,0,52.382,41,42.313,10,0.395,0.673,0.673,2.204,2.198,2.177
BOS,2012,BOS,2012020562,BOS,MTL,AWAY,20130406,Team Level,4on5,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0.091,0.046,0.088,0.023,0.484,0.268,0.091,0.091,0.091,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0.091,0,0,1,0,2,1,1,0,0.011,0,0,0.102,0.102,0.102
BOS,2012,BOS,2012020562,BOS,MTL,AWAY,20130406,Team Level,5on4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,2012,BOS,2012020577,BOS,CAR,HOME,20130408,Team Level,other,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,2012,BOS,2012020577,BOS,CAR,HOME,20130408,Team Level,all,0.5026,0.4538,0.451,3600,33.743,4.057,2.495,6.866,1.099,18.64,12.844,3.906,4.139,3.986,36,10,13,59,6,3,3,5,1,14,17,30,40,1,2,35,15,3,10,30,12,4,1.307,1.337,1.413,1,2,3,64.464,46,47.847,1,0.533,1.211,1.211,3.378,3.446,3.396,40.916,4.015,3.177,8.504,1.355,21.086,17.864,3.886,3.958,3.832,42,14,15,71,2,4,2,10,0,17,23,40,54,2,4,39,20,11,3,34,20,2,0.944,2.447,0.624,0,0,2,66.136,56,54.339,0,0.684,0.85,0.85,3.849,3.812,3.741
BOS,2012,BOS,2012020577,BOS,CAR,HOME,20130408,Team Level,5on5,0.4738,0.4359,0.4333,3237,28.86,3.533,2.065,6.018,0.948,15.154,11.281,3.406,3.616,3.487,32,7,12,51,6,3,3,4,0,11,15,26,33,1,2,32,15,3,10,25,10,4,1.011,1.109,1.413,1,2,3,56.464,39,40.847,1,0.43,1.211,1.211,2.752,2.821,2.798,37.549,3.923,2.862,7.898,1.257,18.919,16.14,3.795,3.866,3.741,39,12,15,66,2,4,2,10,0,15,20,37,49,2,4,36,20,10,3,29,20,2,0.852,2.447,0.624,0,0,2,61.136,51,49.339,0,0.606,0.85,0.85,3.679,3.642,3.573
BOS,2012,BOS,2012020577,BOS,CAR,HOME,20130408,Team Level,4on5,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.694,0.046,0.28,0.507,0.076,1.908,1.183,0.045,0.046,0.045,2,2,0,4,0,0,0,0,0,2,2,2,4,0,0,1,0,0,0,4,0,0,0.046,0,0,0,0,0,4,4,4,0,0.07,0,0,0.115,0.115,0.115
BOS,2012,BOS,2012020577,BOS,CAR,HOME,20130408,Team Level,5on4,0.9192,0.8889,0.875,240,4.883,0.523,0.43,0.848,0.15,3.486,1.563,0.5,0.523,0.5,4,3,1,8,0,0,0,1,1,3,2,4,7,0,0,2,0,0,0,5,2,0,0.295,0.228,0,0,0,0,8,7,7,0,0.102,0,0,0.626,0.626,0.598,0.673,0.046,0.035,0.098,0.021,0.259,0.541,0.046,0.046,0.046,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,1,0,0,0.046,0,0,0,0,0,1,1,1,0,0.008,0,0,0.054,0.054,0.054
BOS,2012,BOS,2012020591,BOS,N.J,AWAY,20130410,Team Level,other,0.4561,0.1333,0.1111,359,0.977,0.681,0.057,0.058,0.014,0.136,0.054,0.681,0.681,0.681,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0.681,0,0,1,2,1,1,0,0.034,0,0,0.716,0.716,0.716,6.002,0.812,0.671,1.028,0.201,3.595,1.693,0.785,0.812,0.785,5,3,5,13,1,0,0,0,0,3,4,4,7,2,2,1,2,0,0,2,6,0,0.07,0.742,0,0,1,0,13,8,8,0,0.177,0,0,0.989,0.989,0.955
BOS,2012,BOS,2012020591,BOS,N.J,AWAY,20130410,Team Level,all,0.4673,0.3778,0.3611,3600,19.548,3.097,1.237,3.986,0.825,7.411,9.446,2.936,3.249,3.085,18,8,8,34,5,2,2,2,1,6,10,13,21,8,16,36,11,1,4,15,6,5,0.43,0.657,2.009,1,1,3,38.132,26,28.525,2,0.303,0.676,0.676,2.724,2.863,2.85,33.521,3.53,2.654,6.591,1.084,19.511,12.63,3.439,3.377,3.291,28,18,10,56,4,0,0,8,1,16,17,24,42,3,7,25,13,2,10,25,20,1,0.74,2.44,0.35,2,1,1,52.004,46,42.852,0,0.619,0,0,4.149,3.967,3.865
BOS,2012,BOS,2012020591,BOS,N.J,AWAY,20130410,Team Level,5on5,0.4865,0.4528,0.4,2477,13.469,1.338,0.872,3.24,0.656,5.993,5.901,1.299,1.49,1.447,12,6,6,24,2,1,1,2,1,4,8,10,16,5,10,19,9,1,2,12,5,1,0.399,0.572,0.367,0,1,1,28.132,18,20.525,1,0.185,0.367,0.367,1.156,1.295,1.292,19.118,1.412,1.306,4.089,0.625,11.366,8.202,1.369,1.259,1.221,18,9,2,29,2,0,0,6,1,9,9,16,25,1,5,18,8,1,6,20,7,0,0.581,0.83,0,2,0,0,25.004,27,23.852,0,0.27,0,0,1.682,1.5,1.457
BOS,2012,BOS,2012020591,BOS,N.J,AWAY,20130410,Team Level,4on5,0.4602,0.3684,0.375,451,4.321,0.815,0.277,0.566,0.132,0.941,3.269,0.694,0.815,0.694,4,2,1,7,2,1,1,0,0,2,1,2,4,2,4,9,2,0,0,3,1,2,0.031,0.085,0.699,1,0,1,7,6,6,0,0.068,0.309,0.309,0.574,0.574,0.563,7.495,0.956,0.603,1.405,0.239,4.353,2.445,0.935,0.956,0.935,4,6,2,12,0,0,0,2,0,4,4,4,10,0,0,5,0,0,4,3,7,0,0.088,0.867,0,0,0,0,12,10,10,0,0.155,0,0,1.111,1.111,1.087
BOS,2012,BOS,2012020591,BOS,N.J,AWAY,20130410,Team Level,5on4,0.4281,0.3333,0.5,313,0.78,0.262,0.031,0.121,0.023,0.34,0.222,0.262,0.262,0.262,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2,3,0,0,2,0,0,1,0,0,0.262,0,0,0,1,1,1,1,0.016,0,0,0.278,0.278,0.278,0.906,0.35,0.075,0.069,0.019,0.197,0.29,0.35,0.35,0.35,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0.35,0,0,1,2,1,1,0,0.016,0,0,0.367,0.367,0.367
BOS,2012,BOS,2012020596,BOS,NYI,HOME,20130411,Team Level,other,1,1,1,83,1.376,0.05,0.133,0.296,0.04,1.023,0.458,0.05,0.05,0.05,0,2,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0.05,0,0,0,0,0,2,2,2,0,0.033,0,0,0.083,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BOS,2012,BOS,2012020596,BOS,NYI,HOME,20130411,Team Level,all,0.5053,0.5091,0.4598,3600,29.195,2.657,2.041,6.571,0.968,14.783,12.98,2.368,2.516,2.239,31,9,16,56,1,3,0,6,2,5,23,30,39,1,2,22,19,8,12,27,10,3,0.727,1.173,0.757,1,0,0,53.32,40,38.199,6,0.441,0.757,0.757,2.341,2.212,2.18,34.821,2.601,2.435,8.544,1.154,19.036,13.231,2.507,2.809,2.707,36,11,7,54,2,4,0,8,2,14,17,34,45,1,2,19,14,9,4,35,10,2,0.922,1.151,0.528,2,0,0,57.517,47,50.059,4,0.518,0.486,0.659,2.46,2.642,2.565
BOS,2012,BOS,2012020596,BOS,NYI,HOME,20130411,Team Level,5on5,0.4912,0.4949,0.4416,3311,25.407,2.476,1.753,5.798,0.849,12.294,10.83,2.189,2.335,2.061,28,6,15,49,0,3,0,5,2,4,20,28,34,1,2,20,18,8,12,21,10,3,0.546,1.173,0.757,0,0,0,46.32,34,32.199,6,0.372,0.757,0.757,2.092,1.963,1.933,31.842,2.565,2.153,7.709,1.057,17.236,12.279,2.472,2.774,2.672,33,10,7,50,2,3,0,8,2,12,16,31,41,1,2,16,13,9,3,31,10,2,0.886,1.151,0.528,2,0,0,53.517,43,46.059,3,0.441,0.464,0.637,2.369,2.551,2.475
BOS,2012,BOS,2012020596,BOS,NYI,HOME,20130411,Team Level,4on5,0.027,0.2,0.2,120,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.001,0,0,0,0,0,1,1,1,0,0.002,0,0,0.003,0.003,0.003,2.979,0.036,0.283,0.835,0.096,1.799,0.951,0.035,0.036,0.035,3,1,0,4,0,1,0,0,0,2,1,3,4,0,0,2,0,0,0,4,0,0,0.036,0,0,0,0,0,4,4,4,0,0.077,0.022,0.022,0.091,0.091,0.09
BOS,2012,BOS,2012020596,BOS,NYI,HOME,20130411,Team Level,5on4,1,1,1,86,2.112,0.13,0.145,0.467,0.069,1.456,0.733,0.127,0.13,0.127,2,1,1,4,1,0,0,1,0,0,1,1,2,0,0,2,0,0,0,3,0,0,0.13,0,0,1,0,0,4,3,3,0,0.033,0,0,0.163,0.163,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
