team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,2008,BOS,2008020045,BOS,MTL,AWAY,20081015,Team Level,other,0.564,0.5714,0.5,79,3.699,0.251,0.283,0.842,0.127,2.232,1.265,0.251,0.251,0.251,3,2,3,8,1,0,0,2,0,2,0,2,4,0,0,3,2,0,0,4,1,0,0.061,0.19,0,0,1,0,8,5,5,0,0.084,0,0,0.335,0.335,0.334,3.704,0.194,0.192,0.842,0.109,1.803,1.86,0.193,0.194,0.193,2,3,1,6,0,0,0,0,0,2,3,2,5,1,2,5,5,3,0,5,0,0,0.194,0,0,0,0,0,6,5,5,0,0.045,0,0,0.239,0.239,0.237
BOS,2008,BOS,2008020045,BOS,MTL,AWAY,20081015,Team Level,all,0.5215,0.5368,0.5341,3900,33.115,3.394,1.978,7.39,1.058,17.532,15.648,2.816,3.39,2.812,34,13,26,73,3,3,1,12,0,18,11,31,44,6,15,27,26,5,8,38,5,4,0.638,0.596,2.16,1,1,1,71.053,47,46.187,6,0.478,0.965,0.965,2.907,2.904,2.668,29.757,3.114,2.21,6.492,0.904,15.135,13.144,2.908,3.126,2.919,28,13,22,63,3,3,1,1,2,17,15,25,38,8,19,36,30,15,15,29,7,5,0.952,0.856,1.307,0,1,2,64.334,41,41.631,15,0.49,0.694,0.694,2.911,2.908,2.735
BOS,2008,BOS,2008020045,BOS,MTL,AWAY,20081015,Team Level,5on5,0.3557,0.5172,0.4906,2898,18.677,0.875,0.969,4.522,0.591,9.729,9.313,0.852,0.872,0.848,17,9,19,45,1,1,0,8,0,9,7,16,25,6,15,18,20,3,7,22,4,0,0.469,0.407,0,1,0,0,43.053,26,25.187,6,0.197,0.124,0.124,0.949,0.947,0.931,19.053,1.585,1.31,4.584,0.586,10.028,8.906,1.525,1.597,1.535,18,9,15,42,1,3,1,1,1,11,10,17,26,7,17,23,25,10,8,22,3,2,0.651,0.332,0.602,0,0,1,43.334,27,27.631,8,0.272,0.694,0.694,1.163,1.161,1.152
BOS,2008,BOS,2008020045,BOS,MTL,AWAY,20081015,Team Level,4on5,0.0493,0.25,0.3,376,1.734,0.049,0.049,0.234,0.048,0.439,2.18,0.049,0.049,0.049,3,0,1,4,0,0,0,0,0,1,2,3,3,0,0,2,3,1,0,3,0,0,0.049,0,0,0,0,0,4,3,3,0,0.012,0,0,0.061,0.061,0.061,5.2,0.945,0.558,0.934,0.168,2.845,1.55,0.801,0.945,0.801,6,1,5,12,1,0,0,0,1,4,1,5,6,0,0,3,0,1,0,2,3,2,0.107,0.336,0.502,0,0,1,12,7,7,0,0.139,0,0,1.084,1.084,0.92
BOS,2008,BOS,2008020045,BOS,MTL,AWAY,20081015,Team Level,5on4,0.8505,0.8421,0.8667,547,9.005,2.218,0.676,1.793,0.291,5.131,2.89,1.664,2.218,1.664,11,2,3,16,1,2,1,2,0,6,2,10,12,0,0,4,1,1,1,9,0,4,0.058,0,2.16,0,0,1,16,13,13,0,0.185,0.841,0.841,1.562,1.562,1.341,1.8,0.39,0.15,0.132,0.041,0.459,0.828,0.39,0.39,0.39,2,0,1,3,1,0,0,0,0,0,1,1,1,0,0,5,0,1,7,0,1,1,0,0.188,0.202,0,1,0,3,2,2,7,0.034,0,0,0.425,0.425,0.425
BOS,2008,BOS,2008020065,BOS,OTT,AWAY,20081018,Team Level,other,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737,0.087,0.029,0.214,0.024,0.344,0.368,0.087,0.087,0.087,1,1,2,4,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,2,0,0,0.087,0,0,0,0,0,4,2,2,0,0.007,0,0,0.028,0.028,0.028
BOS,2008,BOS,2008020065,BOS,OTT,AWAY,20081018,Team Level,all,0.6018,0.466,0.507,3600,25.813,2.772,1.797,5.061,0.762,13.251,12.357,2.701,2.928,2.854,27,9,12,48,4,1,0,1,0,15,15,23,32,5,10,29,27,9,11,27,6,3,0.894,0.66,1.218,1,1,2,50.88,36,37.933,8,0.388,0.01,0.01,3.15,3.326,3.243,24.372,1.834,1.696,5.804,0.769,14.264,9.699,1.804,1.749,1.719,23,12,20,55,2,1,0,10,1,8,13,21,33,2,4,20,25,7,11,29,4,2,0.913,0.495,0.426,1,1,0,52.336,35,33.209,8,0.363,0.055,0.055,2.077,1.974,1.948
BOS,2008,BOS,2008020065,BOS,OTT,AWAY,20081018,Team Level,5on5,0.639,0.5135,0.5098,2805,19.194,2.002,1.272,3.927,0.553,10.168,8.078,1.958,2.158,2.112,20,6,12,38,3,0,0,1,0,10,12,17,23,5,10,24,24,7,10,18,6,2,0.725,0.66,0.618,1,1,1,40.88,26,27.933,7,0.262,0,0,2.264,2.44,2.386,18.029,1.131,1.167,4.251,0.555,10.406,7.49,1.128,1.046,1.043,18,7,11,36,1,0,0,8,1,5,10,17,24,1,2,15,23,5,9,22,2,1,0.601,0.311,0.22,1,0,0,33.336,25,23.209,8,0.237,0,0,1.369,1.266,1.261
BOS,2008,BOS,2008020065,BOS,OTT,AWAY,20081018,Team Level,4on5,0.1676,0.2222,0.3333,518,2.079,0.124,0.083,0.208,0.058,0.473,3.053,0.124,0.124,0.124,3,1,0,4,0,0,0,0,0,1,3,3,4,0,0,4,2,1,1,4,0,0,0.124,0,0,0,0,0,4,4,4,1,0.018,0,0,0.142,0.142,0.142,5.606,0.616,0.501,1.339,0.189,3.514,1.84,0.59,0.616,0.59,4,4,6,14,1,1,0,2,0,2,2,3,7,1,2,4,0,1,1,5,2,1,0.225,0.185,0.206,0,1,0,14,8,8,0,0.119,0.055,0.055,0.68,0.68,0.659
BOS,2008,BOS,2008020065,BOS,OTT,AWAY,20081018,Team Level,5on4,1,0.8571,1,159,4.541,0.646,0.442,0.926,0.151,2.61,1.226,0.618,0.646,0.618,4,2,0,6,1,1,0,0,0,4,0,3,5,0,0,0,0,0,0,5,0,1,0.045,0,0.601,0,0,1,6,6,6,0,0.108,0.01,0.01,0.744,0.744,0.714,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
